id,name,img_cnt,address,tel,tag,desc,time,menu,lat,lng,category
FJfopWlhuzJj,위트앤미트 강남점,8,서울특별시 강남구 역삼동 616-4,02-508-2396,식사모임,"캐주얼한, 점심식사, 저녁식사, 발렛, 셀프바, 반려동물동반, 무료주차, 배달",매일:오전 11시 30분 - 오후 8시 30분|쉬는시간 매일:오후 3시 30분 - 오후 5시,"PASTRAMI QUEENS:14,800원|THE PORCHETTA:12,800원|DELI PASTRAMI:9,800원|NASHVILLE HOT SHRIMP:12,800원|CLAM CHOWDER SOUP:7,300원|POTATO LATKE:6,100원|COLESLAW:3,300원",37.50368315,127.0274629,카페
uuf3PHofuZXB,라브리크,8,서울특별시 강남구 역삼동 619-10,02-555-1215,데이트,"예쁜, 정원, 야외자리, 반려동물동반",,"라브리크 에그 모닝밀:15,000원|라브리크 버터밀:15,000원|머쉬룸 에그 샌드위치:15,000원|치즈 오믈렛:17,000원|머쉬룸 스프:13,000원|샤크슈카:22,000원|소시지 플레이트:14,000원|부라타 샐러드:18,000원|마르게리따 피자:13,000원|초리조 피자:16,000원|비스마르크 피자:19,000원|프렌치 프라이:9,000원|만조 크림 리조또:21,000원|라구 파스타:20,000원|봉골레 파스타:19,000원|칠리 콜드 파스타:22,000원|푸타네스카:19,000원|샤퀴테리 플레이트:29,000원|라브리크 샹그리아 1 Bottle:39,000원|릴레블랑 키위 모히또:12,000원|에스프레소:6,000원|아메리카노:7,000원|디카페인 콜드브루:7,500원|플랫화이트:6,500원|바닐라라떼:7,000원|아인슈페너:7,000원|스카치 캔디 라떼:7,500원|라브리크 초콜릿:6,500원|말차 라떼:7,000원|후르츠 티에이드:8,000원|블루베리 밀크티:7,000원|브루티코 7종 택 1:7,500원|모카초코 버터바:7,500원|얼그레이 버터바:7,500원|피스타치오 버터바:7,500원|바닐라 바스크 치즈케이크:9,000원|블루베리 치즈케이크:9,000원|콘크림 치즈케이크:9,000원|레드벨벳 케이크:8,000원|라즈베리 초코케이크:8,000원|피스타치오 체리케이크:9,500원|애플시나몬 케이크:9,000원",37.50238452,127.0279156,카페
CszA81oWQZu0,겟썸커피,8,서울특별시 강남구 역삼동 812-3,070-4113-3619,데이트,"예쁜, 점심식사, 반려동물동반","화,수,목,금,토:오전 11시 - 오후 10시|일요일:정오 12시 - 오후 10시|휴무일:매주 월요일","더티카푸치노:4,800원|아메리카노:4,000원|라떼:4,500원|플랫화이트:4,500원",37.50308349,127.0272513,카페
zwlvIlQ1vpOt,502커피 로스터스 역삼,8,서울특별시 강남구 역삼동 736-1 아크플레이스 1층,02-556-0502,차모임,"캐주얼한, 테이크아웃, 주차",월-금:오전 7시 30분 - 오후 7시 30분,"에스프레소:4,500원|아메리카노:4,500원|카페라떼:5,000원|플랫화이트:5,000원|바닐라빈라떼:5,500원|아인슈페너:5,000원|크림브라운:5,500원|다크블랑:5,500원|클로티드크림:4,500원|로열블랜드:5,000원|얼그레이 클래식:5,000원|블루베리루이보스:5,000원|스트로베리 민트:5,000원|콜드브루:4,500원|로얄밀크티:5,500원|마차라떼:5,500원|카카오수프:5,500원|콘파냐:5,000원|오틀리라떼:5,500원|잉글리시스콘:3,000원|스콘세트:7,500원|크림티세트:9,500원",37.49972001,127.0348983,카페
4SKq6MY05r3k,모터시티,8,서울특별시 강남구 역삼동 736-1,02-2051-8877,데이트,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 무료주차",월-금:오전 11시 - 오후 10시|토/일:오전 11시 - 오후 9시 30분|쉬는시간 매주 월-금:오후 3시 - 오후 4시,"JACKSON 5:25,900원|FOUR CHEESE HORSEMAN:27,900원|CHEESE PIZZA:20,000원|TRUFFLE BACON MUSHROOM:27,900원|MOTOWN SUPREME:25,900원|GARLIC SHRIMP PASTA:24,000원|BUFFALO WINGS:11,900원|CREAMY GARLIC PARMESAN WINGS:11,900원|MEGA CRUNCH FRIES:9,500원|FRIES WITH QUESO:15,900원|CRISPY MUSHROOM:10,000원|TRUFFLE TOOWOOMBA PASTA:22,000원|MC X SQUARE PIE GUYS:25,900원|MANIMAL BBQ:25,900원|COLESLAW:3,900원",37.49972001,127.0348983,식당
mjZZNUQbCDHo,정월,8,서울특별시 강남구 역삼동 618-21,02-6013-0926,차모임,"예쁜, 테이크아웃, 야외테라스, 정원",매일:정오 12시 - 오후 10시,"아메리카노:6,000원|핸드드립:6,500원|에스프레소:3,000원|아인슈패너(water/milk):6,500원|플랫화이트:6,000원|카페라떼:6,000원|헤이즐넛 솔트라떼:6,500원|바닐라라떼:6,500원|돌체연유라떼:6,500원|말차라떼:6,500원|말차 아인슈패너:8,000원|말차 샷 라떼:7,000원|녹차유자티:6,000원|녹차수국티:6,000원|녹차민트티:6,000원|녹차레몬티:6,000원|엘더플라워에이드:6,500원|복숭아에이드:6,500원|쇼콜라:5,500원|밀크티:6,500원|얼그레이 쉬폰 케이크:6,500원|당근 케이크:6,500원|초코 무스 케이크:6,500원",37.50367135,127.0285949,카페
3pfmqFbR3aQj,시티 갤러리 카페,8,서울 강남구 역삼동 829,02-566-1743,소개팅,"조용한, 점심식사, 테이크아웃, 야외테라스, 반려동물동반, 배달",월-금:오전 8시 - 자정 12시|토요일:오전 10시 - 자정 12시|일요일:오전 10시 - 오후 10시,"생맥무한리필:12,900원|기네스 생맥주 420ml:9,000원|탄단지 샐러드:8,400원|아메리카노:4,400원|에스프레소 콘파냐:4,900원|에스프레소 마끼아또:4,400원|카푸치노:4,900원|바닐라 아포카토:5,900원|콜드브루:4,400원|카페 라떼:4,400원|바닐라 라떼:4,900원|헤이즐럿 라떼:4,900원|카라멜 라떼:4,900원|카페 모카 라떼:5,200원|카라멜 마끼아또:5,200원|그린티 라떼:4,900원|다크 초코 라떼:4,900원|화이트 초코 라떼:4,900원|민트 초코 라떼:4,900원|밀크티 (얼그레이/아쌈/다즐링):5,200원|복숭아 아이스티:6,000원|요거트 스무디 (블루베리/딸기/키위/망고/플레인):6,000원|카라멜 쿠키 밀라치노:5,500원|다크 초콜릿 쿠키 밀라치노:5,500원|그린티 밀라치노:5,500원|허브 블루베리 밀라치노:5,500원|케모마일/페퍼민트/스트로베리민트:4,900원|레몬그라스/엘더베리:4,900원|겐마이차 그린티/루이보스 슈가플럼:4,900원|얼그레이/아쌈:4,900원|다즐링:4,900원|펄 자스민:4,900원|딸기 쥬스:5,500원|딸기&바나나 쥬스:6,000원|딸기&레몬 쥬스:6,000원|키위 쥬스:5,500원|토마토 쥬스:5,500원|나뚜르 바닐라/초코/딸기/녹차 아이스크림:5,900원|레몬 에이드:7,000원|생강차:5,500원|리코타 시티샐러드:8,400원|카프레제 샐러드:8,900원|기네스 생맥주 580ml:11,000원",37.49567667,127.0329583,카페
gv9ZUFzmqBGy,가배도,8,서울특별시 강남구 역삼동 601-12,02-554-4542,차모임,"깔끔한, 반려동물동반",월-금:정오 12시 - 오후 11시|토/일:정오 12시 - 오후 11시 30분,"가배:4,900원|코르타도:5,400원|말차 라떼:6,500원|가배도 밀크티:7,000원|사쿠란보:7,000원|판나코타:5,000원|티라미수:7,000원",37.50409681,127.0258516,식당
YHPHF2lZePDa,프레도,7,서울특별시 강남구 역삼동 619-10,02-554-7747,차모임,"예쁜, 반려동물동반","화,수,목,금:오전 11시 - 오후 10시|토/일:정오 12시 - 오후 10시|휴무일:매주 월요일","아메리카노:4,500원|카페라떼:5,000원|바닐라 라떼:5,500원|모카 라떼:5,500원|카푸치노:5,000원|바닐라 카푸치노:5,500원|라떼 마끼아또:5,500원",37.50238452,127.0279156,카페
boNO1w2gKjj3,데일리픽스,4,서울특별시 강남구 역삼동 823-16,,,"분위기좋은, 반려동물동반, 주차, 배달",,"파스트라미 샌드위치:13,900원|가지 튀김:11,900원|모스코뮬:9,900원|베이컨 치즈 버거:12,900원|치킨윙:15,900원|아보카도 샌드위치:10,900원",37.4977748,127.0324671,식당
oEBEsSsIbatc,카페슬로우,8,서울특별시 서초구 서초동 1308-12,02-3482-0111,데이트,"캐주얼한, 저녁식사, 좌식","월-목,일:오후 2시 - 오전 2시|금,토:오후 2시 - 오전 5시","HENDRICK'S GIN TONIC:13,000원|SOMSATANG COCKTAIL:13,000원",37.50082601,127.025267,카페
